Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
137,146508.8,0,74002.84,0,186611.9,0
138,146508.8,0,73191.77,0,186611.9,0
139,146508.7,0,75571.38,0,186611.9,0
140,186611.7,0,88282.59,0,186611.9,0
141,146508.7,0,72075.08,0,186611.9,0
142,146508.8,0,76580.57,0,186611.9,0
143,146508.7,0,80059.12,0,186611.9,0
144,186611.8,0,89335.09,0,186611.9,0
145,146665.6,0,75533.32,0,186611.9,0
146,146508.6,0,90571.27,0,186611.9,0
147,186611.8,0,77332.82,0,186611.9,0
148,186611.8,0,66181.32,0,186611.9,0
149,146508.7,0,67983.11,0,186611.9,0
150,146455.7,0,66067.89,0,186611.9,0
151,186611.7,0,73860.28,0,186611.9,0
152,186611.8,0,71269.31,0,186611.9,0
153,151400.8,0,73607.02,0,186611.9,0
154,146508.8,0,69863.72,0,186611.9,0
155,151560.1,0,67871.51,0,186611.9,0
156,181612.3,0,82104.02,0,186611.9,0
157,146666.3,0,75701.68,0,186611.9,0
158,161456.8,0,78946.52,0,186611.9,0
159,146508.8,0,66511.29,0,186611.9,0
160,186611.7,0,85140.45,0,186611.9,0
161,146667.3,0,71301.14,0,186611.9,0
162,156457.3,0,92972.1,0,186611.9,0
163,151507.2,0,63644.99,0,186611.9,0
164,186611.8,0,78901.72,0,186611.9,0
165,146508.8,0,60595.61,0,186611.9,0
166,151456.8,0,86496.23,0,186611.9,0
167,186611.8,0,72913.12,0,186611.9,0
168,186611.9,0,69799.63,0,186611.9,0
169,146666.6,0,70740.3,0,186611.9,0
170,156666.5,0,71378.63,0,186611.9,0
171,186611.8,0,73251.83,0,186611.9,0
172,186611.8,0,74410.77,0,186611.9,0
173,146508.7,0,74764.47,0,186611.9,0
174,146508.7,0,75188.06,0,186611.9,0
175,156782.6,0,75221.12,0,186611.9,0
176,186611.8,0,83490.09,0,186611.9,0
177,151457.8,0,84262.22,0,186611.9,0
178,146508.7,0,75586.43,0,186611.9,0
179,146508.7,0,74864.79,0,186611.9,0
180,186611.7,0,78204.34,0,186611.9,0
181,156456.3,0,75235.27,0,186611.9,0
