Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
0;3178,777;0;-10217,85;0;3178,777;0
1;26449,22;0;-356,0132;0;26449,22;0
2;26501,97;0;13421,24;0;26501,97;0
3;26546,37;0;10324,18;0;26546,37;0
4;26547,15;0;10561,85;0;26547,15;0
5;26552,72;0;7333,898;0;26552,72;0
6;26589,2;0;4829,546;0;26589,2;0
7;26589,38;0;6186,288;0;26589,38;0
8;26579,34;0;6584,59;0;26589,38;0
9;26589,39;0;8858,416;0;26589,39;0
10;26589,39;0;6504;0;26589,39;0
11;26602,65;0;7278,626;0;26602,65;0
12;26598,34;0;6177,021;0;26602,65;0
13;26600,89;0;5718,709;0;26602,65;0
14;26589,38;0;4051,457;0;26602,65;0
15;26589,38;0;4631,77;0;26602,65;0
16;26624,76;0;4911,668;0;26624,76;0
17;26618,07;0;4995,533;0;26624,76;0
18;26793,7;0;4465,183;0;26793,7;0
19;26793,71;0;13580,35;0;26793,71;0
20;26715,98;0;8415,414;0;26793,71;0
21;26686,59;0;5692,458;0;26793,71;0
22;26647,56;0;8065,309;0;26793,71;0
23;26786,67;0;2902,523;0;26793,71;0
24;26630,76;0;5169,258;0;26793,71;0
25;26793,71;0;12313,43;0;26793,71;0
26;26828,52;0;10265,91;0;26828,52;0
27;26627,87;0;10164,2;0;26828,52;0
28;26623,25;0;13734,35;0;26828,52;0
29;26751,4;0;3110,048;0;26828,52;0
30;26638,45;0;7025,352;0;26828,52;0
31;26606,88;0;6977,942;0;26828,52;0
32;26599,58;0;6051,685;0;26828,52;0
33;26793,7;0;11440,51;0;26828,52;0
34;26664,95;0;2066,012;0;26828,52;0
35;26666,96;0;12711,9;0;26828,52;0
36;26696,02;0;9916,552;0;26828,52;0
37;26751,41;0;4513,885;0;26828,52;0
38;26630,42;0;8203,547;0;26828,52;0
39;26751,43;0;6673,758;0;26828,52;0
40;26605,73;0;5163,03;0;26828,52;0
41;26793,7;0;11458,58;0;26828,52;0
42;26793,7;0;4047,531;0;26828,52;0
43;26751,43;0;8187,195;0;26828,52;0
44;26635,85;0;10796,62;0;26828,52;0
45;26751,41;0;4087,137;0;26828,52;0
46;26636,44;0;7773,328;0;26828,52;0
47;26604,55;0;10083,87;0;26828,52;0
48;26634,58;0;5747,008;0;26828,52;0
49;26920,18;0;10327,2;0;26920,18;0
50;26684,21;0;10399,73;0;26920,18;0
51;26634,34;0;10242,82;0;26920,18;0
52;26831;0;10143,62;0;26920,18;0
53;26786,05;0;5827,74;0;26920,18;0
54;26881;0;8701,753;0;26920,18;0
55;26619,35;0;-280,8348;0;26920,18;0
56;26647,49;0;9861,293;0;26920,18;0
57;26759,17;0;6004,337;0;26920,18;0
58;26546,32;0;6487,326;0;26920,18;0
59;26584,21;0;9028,705;0;26920,18;0
60;26748,02;0;10363;0;26920,18;0
61;26763,27;0;5738,923;0;26920,18;0
62;26794,51;0;7019,129;0;26920,18;0
63;26910,6;0;5239,109;0;26920,18;0
64;26931,53;0;8974,973;0;26931,53;0
65;26817,46;0;9876,706;0;26931,53;0
66;26837,78;0;8076,124;0;26931,53;0
67;26990,77;0;10565,27;0;26990,77;0
68;27045,67;0;11497,39;0;27045,67;0
69;26582,66;0;7678,859;0;27045,67;0
70;26668,29;0;10742,74;0;27045,67;0
71;27013,63;0;5422,09;0;27045,67;0
72;27035,36;0;7496,118;0;27045,67;0
73;26606,04;0;7056,644;0;27045,67;0
74;26652,34;0;8090,362;0;27045,67;0
75;26613,35;0;9797,362;0;27045,67;0
76;27041,07;0;8365,662;0;27045,67;0
77;26715,51;0;9855,813;0;27045,67;0
78;26580,06;0;5579,347;0;27045,67;0
79;26589,71;0;9155,584;0;27045,67;0
80;27029,44;0;9525,632;0;27045,67;0
81;26719,71;0;6745,657;0;27045,67;0
82;26760,18;0;13020,64;0;27045,67;0
83;26568,19;0;5070,314;0;27045,67;0
84;27002,09;0;10916,44;0;27045,67;0
85;26625,02;0;4626,477;0;27045,67;0
86;26550;0;7108,078;0;27045,67;0
87;27035,36;0;11580,73;0;27045,67;0
88;27046,46;0;10538,53;0;27046,46;0
89;26847,14;0;6571,641;0;27046,46;0
90;26558,19;0;9956,08;0;27046,46;0
91;27035,36;0;1718,863;0;27046,46;0
92;27046,44;0;7712,433;0;27046,46;0
93;26774,94;0;2944,73;0;27046,46;0
94;26700,59;0;2723,323;0;27046,46;0
95;26705,02;0;5954,754;0;27046,46;0
96;27035,36;0;7078,152;0;27046,46;0
97;27075,88;0;4682,877;0;27075,88;0
98;26712,4;0;6365,481;0;27075,88;0
99;26615,63;0;7641,307;0;27075,88;0
