Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
126.00;146509.4;0;75238.63;0;186611.9;0
127.00;186611.8;0;73719.63;0;186611.9;0
128.00;186611.8;0;74752.55;0;186611.9;0
129.00;146508.7;0;80299.38;0;186611.9;0
130.00;146508.9;0;90103.62;0;186611.9;0
131.00;186611.8;0;85605.67;0;186611.9;0
132.00;186611.8;0;85537.84;0;186611.9;0
133.00;146508.7;0;73482.88;0;186611.9;0
134.00;146508.8;0;77585.2;0;186611.9;0
135.00;156507;0;76401.06;0;186611.9;0
136.00;186611.8;0;81873.93;0;186611.9;0
137.00;146508.8;0;74002.84;0;186611.9;0
138.00;146508.8;0;73191.77;0;186611.9;0
139.00;146508.7;0;75571.38;0;186611.9;0
140.00;186611.7;0;88282.59;0;186611.9;0
141.00;146508.7;0;72075.08;0;186611.9;0
142.00;146508.8;0;76580.57;0;186611.9;0
143.00;146508.7;0;80059.12;0;186611.9;0
144.00;186611.8;0;89335.09;0;186611.9;0
145.00;146665.6;0;75533.32;0;186611.9;0
146.00;146508.6;0;90571.27;0;186611.9;0
147.00;186611.8;0;77332.82;0;186611.9;0
148.00;186611.8;0;66181.32;0;186611.9;0
149.00;146508.7;0;67983.11;0;186611.9;0
150.00;146455.7;0;66067.89;0;186611.9;0
151.00;186611.7;0;73860.28;0;186611.9;0
152.00;186611.8;0;71269.31;0;186611.9;0
153.00;151400.8;0;73607.02;0;186611.9;0
154.00;146508.8;0;69863.72;0;186611.9;0
155.00;151560.1;0;67871.51;0;186611.9;0
156.00;181612.3;0;82104.02;0;186611.9;0
157.00;146666.3;0;75701.68;0;186611.9;0
158.00;161456.8;0;78946.52;0;186611.9;0
159.00;146508.8;0;66511.29;0;186611.9;0
160.00;186611.7;0;85140.45;0;186611.9;0
161.00;146667.3;0;71301.14;0;186611.9;0
162.00;156457.3;0;92972.1;0;186611.9;0
163.00;151507.2;0;63644.99;0;186611.9;0
164.00;186611.8;0;78901.72;0;186611.9;0
165.00;146508.8;0;60595.61;0;186611.9;0
166.00;151456.8;0;86496.23;0;186611.9;0
