Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
218;22557.43;1072219;-6421.659;612896.1;22557.43;1072219
219;23852.64;1077404;-11688.2;753818.8;23852.64;1077404
220;8484.205;1082402;-15082.93;715701.4;8484.205;1082402
221;28300.71;1107405;-9989.981;670507.8;28300.71;1107405
222;2797.786;1112419;-17426.76;501065.6;2797.786;1112419
223;24114.02;3217406;-1577.762;608316.2;24114.02;3217406
224;8674.973;3347409;-14050.38;569527.6;8674.973;3347409
225;27479.32;957303.5;-10114.86;690504.1;27479.32;957303.5
226;23928.11;1142399;-7794.835;663515.1;23928.11;1142399
227;23236.29;1017191;-15534;563717.6;23236.29;1017191
228;2494.035;4142399;-18197.81;526247.9;2494.035;4142399
229;7852.512;1132402;-13760.37;322593;7852.512;1132402
230;5889.587;1141925;-11495.73;460157;5889.587;1141925
231;6223.591;2322408;-16689.04;627844.9;6223.591;2322408
232;23795.42;1877352;-9926.519;540785.8;23795.42;1877352
233;3622.923;2717352;-15625.05;657376.6;3622.923;2717352
234;24071.71;3647406;-12749.19;773326.9;24071.71;3647406
235;7700.227;1092405;-15100.75;474213.8;7700.227;1092405
236;27826.09;3962353;-7594.625;666215.9;27826.09;3962353
237;24029.43;3492353;-7156.758;760787.6;24029.43;3492353
238;28026.69;3657404;-3831.03;695830.2;28026.69;3657404
239;6058.977;3682401;-7489.169;812419.8;6058.977;3682401
240;26864.46;3852407;-9008.432;680949.2;26864.46;3852407
241;26793.9;2567353;-8740.289;641549.1;26793.9;2567353
242;25112.36;4022352;-6308.49;1069587;25112.36;4022352
243;24014.88;3892353;-2913.365;1083473;24014.88;3892353
244;23737.44;4772353;-4517.207;1284816;23737.44;4772353
245;7752.822;3212353;-7443.866;1028481;7752.822;3212353
246;26531.42;3692354;-3854.401;1232727;26531.42;3692354
247;2233.079;3482353;-10285.51;991361.4;2233.079;3482353
248;7236.515;4542354;-5852.22;1450386;7236.515;4542354
249;29072.46;5022354;-7948.426;1172840;29072.46;5022354
250;3361.072;4697352;-12602.02;910693.2;3361.072;4697352
251;27511.08;4327404;-11253.46;888803.6;27511.08;4327404
252;24272.77;967410.8;-5089.905;520459.8;24272.77;967410.8
253;28626.9;1172430;-3317.145;565614.1;28626.9;1172430
254;24025.39;1272353;-7454.409;641196.4;24025.39;1272353
255;3878.952;1221560;-11914.63;462863;3878.952;1221560
256;7471.47;4562404;-15542.45;836804.1;7471.47;4562404
257;23360.04;1181930;-12109.49;707902.9;23360.04;1181930
258;26747.43;1191193;-7107.843;671935.7;26747.43;1191193
259;24662.18;1201667;-8900.501;733069.8;24662.18;1201667
260;28567;1147350;-6331.038;671372.1;28567;1147350
261;3527.232;1261928;-11462.77;735953.4;3527.232;1261928
262;24048.98;1067402;-12105.86;543306.2;24048.98;1067402
263;26515.1;1087500;-6968.806;510776.1;26515.1;1087500
264;27937.8;2177406;-5389.968;655993.8;27937.8;2177406
265;23529.36;1892098;-5177.415;538408.8;23529.36;1892098
266;24379.14;1467404;-3095.045;441631;24379.14;1467404
267;28069.02;4922404;-5191.542;799346;28069.02;4922404
268;27508.11;1196977;-5722.441;405672.2;27508.11;1196977
269;27939.33;1347335;3731.077;464133.5;27939.33;1347335
270;26438.8;1652322;-4770.734;422718;26438.8;1652322
271;7698.229;2766706;934.3867;485076.3;7698.229;2766706
272;6952.714;2812336;-265.6118;289354.4;6952.714;2812336
273;8130.257;2902346;561.0997;402013.8;8130.257;2902346
274;27701.86;2907325;30.23195;487203.6;27701.86;2907325
275;7413.41;4827330;-5571.981;738882.9;7413.41;4827330
276;28290.47;2190020;3044.317;310954.1;28290.47;2190020
277;48838.09;3017242;2876.097;552834.8;48838.09;3017242
278;27184.93;442188.3;-294.9764;166141.5;27184.93;442188.3
279;26950.65;1032479;-909.372;197841.4;26950.65;1032479
280;24331.45;2227381;1457.136;539762.9;24331.45;2227381
281;24482.99;3427354;458.0783;581274.4;24482.99;3427354
282;6527.674;2907347;-1244.066;410635.5;6527.674;2907347
283;26683.51;2412343;133.4691;424070.8;26683.51;2412343
284;26504.67;3362341;1368.754;534710.9;26504.67;3362341
285;27952.71;647347.8;8509.771;118580.2;27952.71;647347.8
286;27223.58;2757402;2298.051;470483.3;27223.58;2757402
287;28181.24;2487402;1015.139;473672;28181.24;2487402
288;25008.82;5382289;-1439.885;603169.9;25008.82;5382289
289;28021.06;1517400;901.1122;337874.5;28021.06;1517400
290;28443.75;4832288;-1361.276;572121.3;28443.75;4832288
291;28560.23;1041661;-2573.91;326764.8;28560.23;1041661
292;29339.46;1987383;-9705.224;504766.2;29339.46;1987383
293;26845.88;1226766;-7981.288;431119.9;26845.88;1226766
294;26427.88;1557347;-9013.434;675592.6;26427.88;1557347
295;26471.84;2887342;-6408.932;685609.3;26471.84;2887342
296;26456.03;4787343;-66.54836;574255.2;26456.03;4787343
297;7320.049;4992348;-2472.928;723429.3;7320.049;4992348
298;8395.135;4412348;-694.5132;746188.9;8395.135;4412348
299;23855.05;5167342;-6436.067;843265.5;23855.05;5167342

