Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
308;27349,84;27357,04;-6450,464;5934,418;27349,84;27357,04
309;27251,51;27317,67;-5662,542;3854,133;27251,51;27317,67
310;27072,91;27284,2;-54,52289;1625,077;27072,91;27284,2
311;26673,31;26970,25;-4264,364;4054,608;26673,31;26970,25
312;27284,82;27377,73;-8464,158;7273,086;27284,82;27377,73
313;27046,08;27342,86;-12856,18;12043,76;27046,08;27342,86
314;26446,15;27649,83;-10737,25;9341,841;26446,15;27649,83
315;26557,62;27418,61;-10634,37;10061,53;26557,62;27418,61
316;26599,01;27417,79;-9527,828;8671,053;26599,01;27417,79
317;26541,3;27374,56;-3584,225;4424,429;26541,3;27374,56
318;26531,12;27610,91;-9233,951;8662,031;26531,12;27610,91
319;26607,19;27405,36;-8348,516;8207,743;26607,19;27405,36
320;27489,64;27910,81;-7054,006;6929,765;27489,64;27910,81
321;26601,99;27540,26;-4996,57;3917,07;26601,99;27540,26
322;27539,28;27752,97;-7971,151;7627,183;27539,28;27752,97
323;26584,47;28196,96;-9988,335;8763,011;26584,47;28196,96
324;28082,13;28184,92;-574,1455;1518,201;28082,13;28184,92
325;27884,21;28251,08;-15,60901;-282,7904;27884,21;28251,08
326;28138,35;27070,62;234,8829;-14,75241;28138,35;27070,62
327;27223,04;27611,03;-6463,163;6709,098;27223,04;27611,03
328;26648,81;27642,61;-6985,718;5979,819;26648,81;27642,61
329;27971,23;28159,79;-1387,174;1457,287;27971,23;28159,79
330;26597,94;27333,64;-2994,417;5428,483;26597,94;27333,64
331;26888,79;27137,88;1019,215;-326,6613;26888,79;27137,88
332;26594,67;27511,31;-8497,284;7745,769;26594,67;27511,31
333;26468,16;28117,7;-4593,152;3936,704;26468,16;28117,7
334;26733,21;28160,16;-6747,206;5044,483;26733,21;28160,16
335;26639,41;28943,11;-2934,414;3569,98;26639,41;28943,11
336;26716,74;28038,27;-2623,469;2289,708;26716,74;28038,27
337;26870,01;28276,56;-7051,658;6643,668;26870,01;28276,56
338;27081,59;28231,11;-7564,852;7584,353;27081,59;28231,11
339;27272,96;27842,74;1128,982;-422,7854;27272,96;27842,74
340;27192,04;49936,43;-6647,112;5788,292;27192,04;49936,43
341;26649,1;28397,29;-606,9944;921,1453;26649,1;28397,29
342;27203,96;27948,19;2385,033;-2241,366;27203,96;27948,19
343;26614,36;49604,31;-8876,038;7365,859;26614,36;49604,31
344;26438,3;28014,25;-1830,859;2274,014;26438,3;28014,25
345;26685,49;27645,69;-7750,293;7486,713;26685,49;27645,69
346;27072,61;28487,27;-8971,194;8622,606;27072,61;28487,27
347;26597,7;28634,82;-5370,312;4648,407;26597,7;28634,82
348;26549,02;28232,21;-5898,291;5158,309;26549,02;28232,21
349;26639,9;27712,67;4195,138;-2432,331;26639,9;27712,67
350;26626,87;28779,13;-6137,064;6633,832;26626,87;28779,13
351;26654,78;28049,2;3092,11;-2824,818;26654,78;28049,2
352;26552,97;26657,95;266,6043;1856,357;26552,97;26657,95
353;26637,19;26810,69;-2475,984;3877,566;26637,19;26810,69
354;26700,2;27145,52;1471,935;1424,815;26700,2;27145,52
355;26696,05;26670,98;635,0086;3081,727;26696,05;26670,98
356;26645,22;26784,23;919,0441;2975,025;26645,22;26784,23
357;26687,21;28060,25;2674,797;1171,335;26687,21;28060,25
358;26672,24;27496,97;1782,507;2300,059;26672,24;27496,97
359;26618,26;26634,94;-839,6348;5102,479;26618,26;26634,94
360;26709;27114,55;1113,697;1119,722;26709;27114,55
